miRNA name	H1	H2	H3	H4	H5	H6	H7	H8	H9	L1	L10	L2	L3	L4	L5	L6	L7	L8	L9	S1	S2	S3	S4	S5	S6	S7	S8	S9	HC	LN	SLE
hsa-miR-29b-3p	12699.4377	11277.1551	7614.2564	9618.4369	8523.6732	10421.6771	8985.7029	7405.3005	9799.7744	11413.0777	264.9709	13969.9381	5153.1815	12593.7496	8135.8963	10138.1572	6264.265	4947.1713	8777.5295	9851.3502	10927.1022	18049.0493	8593.3858	11315.5376	14344.7566	8994.5786	9896.683	11046.3599	9593.934911	8165.79371	11446.53369
hsa-miR-29c-3p	10896.7633	8717.3101	2799.2755	8570.8844	2907.8156	3367.0034	4736.5527	3504.5661	3877.6086	5738.0667	264.9709	3359.8585	2388.0597	7302.9676	7733.5717	4251.8415	1383.2762	1307.4667	7500.798	4573.8411	3856.6243	6200.0551	4350.4763	7635.8609	6094.9134	3018.7284	4893.9641	2000.5219	5486.419967	4123.08775	4736.1095
hsa-miR-29c-5p	1372.185	1937.18	1521.7157	2253.8252	1309.6269	2298.1134	2187.0626	1625.306	2608.573	1324.1692	0	1237.8426	628.4368	1885.5446	1296.3791	1501.9492	909.0101	1024.7712	2074.6888	1759.1697	1739.2619	1928.906	2533.7939	1212.379	3425.3735	1786.5944	1631.3214	608.8545	1901.509756	1188.27916	1847.294922
hsa-miR-301a-3p	80.7168	207.555	102.2048	476.1602	33.2956	0	212.4575	81.2653	846.0237	189.167	0	0	31.4218	408.0656	178.8109	242.9624	29.6416	0	0	1055.5018	189.0502	0	119.5186	42.5396	64.3263	61.6067	489.3964	0	226.630989	108.00693	224.659956
hsa-miR-301a-5p	0	0	0	0	11.0985	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.9519	0	0	0	0	0	1.233167	0	1.327989
hsa-miR-301b-3p	0	0	0	0	22.1971	0	0	0	0	0	0	0	0	14.0712	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.466344	1.40712	0
hsa-miR-301b-5p	0	69.185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.687222	0	0
hsa-miR-302b-3p	0	0	5.678	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.630889	0	0
hsa-miR-302b-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44.7027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.47027	0
hsa-miR-3064-3p	0	0	11.3561	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.261789	0	0
