miRNA name	H1	H2	H3	H4	H5	H6	H7	H8	H9	L1	L10	L2	L3	L4	L5	L6	L7	L8	L9	S1	S2	S3	S4	S5	S6	S7	S8	S9	HC	LN	SLE
hsa-miR-338-3p	80.7168	0	51.1024	31.744	22.1971	0	149.97	60.949	0	567.5011	0	0	628.4368	56.2849	0	220.8749	128.4471	35.3369	0	0	0	0	107.5667	148.8887	16.0816	369.6402	108.7548	0	44.075478	163.68817	83.436889
hsa-miR-338-5p	26.9056	0	0	0	0	0	12.4975	10.1582	0	0	0	0	31.4218	0	0	0	29.6416	0	0	0	0	0	0	0	0	0	54.3774	0	5.506811	6.10634	6.041933
hsa-miR-339-3p	295.9615	138.37	278.2241	126.9761	244.1677	160.3335	337.4325	81.2653	211.5059	63.0557	0	0	157.1092	253.2821	268.2164	309.2248	167.9693	318.0324	319.1829	263.8755	113.4301	0	370.5076	297.7773	273.3866	123.2134	54.3774	173.9584	208.248511	185.60728	185.614033
hsa-miR-339-5p	0	0	5.678	0	11.0985	0	24.995	10.1582	0	0	0	0	0	0	0	0	19.7611	0	159.5914	0	37.81	137.779	35.8556	21.2698	0	0	0	0	5.769967	17.93525	25.857156
hsa-miR-33a-3p	53.8112	0	0	0	33.2956	0	49.99	60.949	70.502	0	0	0	62.8437	28.1425	89.4055	0	29.6416	141.3478	0	263.8755	0	137.779	0	106.349	80.4078	61.6067	380.6417	0	29.838644	35.13811	114.517744
hsa-miR-33a-5p	53.8112	69.185	17.0341	158.7201	77.6897	0	74.985	50.7908	0	504.4454	0	353.6693	0	112.5698	0	88.35	79.0444	35.3369	0	0	302.4803	0	119.5186	255.2377	64.3263	61.6067	217.5095	0	55.801767	117.34158	113.408789
hsa-miR-33b-3p	0	0	5.678	0	0	0	12.4975	0	0	0	0	0	0	0	0	0	0	70.6739	0	0	0	0	0	0	0	0	0	0	2.0195	7.06739	0
hsa-miR-33b-5p	53.8112	0	5.678	0	33.2956	0	0	0	0	63.0557	0	0	0	28.1425	0	0	19.7611	0	0	0	0	0	23.9037	85.0792	16.0816	0	108.7548	260.9376	10.309422	11.09593	54.972989
hsa-miR-340-3p	242.1503	0	187.3754	126.9761	221.9707	160.3335	312.4375	132.0561	70.502	189.167	0	0	251.3747	196.9972	134.1082	298.1811	158.0887	70.6739	638.3658	87.9585	75.6201	137.779	107.5667	212.6981	192.9788	123.2134	435.019	521.8753	161.533511	193.69566	210.523211
hsa-miR-340-5p	26.9056	0	39.7463	63.488	0	0	12.4975	40.6327	0	0	0	0	0	154.7835	178.8109	44.175	19.7611	35.3369	0	0	0	0	35.8556	191.4283	144.7341	0	163.1321	0	20.363344	43.28674	59.461122
hsa-miR-342-3p	2932.7091	4773.765	7602.9003	4063.2341	3507.1364	3260.1144	4386.6227	3626.464	4159.6165	4098.6191	264.9709	2298.8506	7101.3354	5895.8448	3218.5963	3810.0918	10137.4384	9399.6254	2872.646	3342.4224	3365.0938	3995.5911	7111.3555	2701.2656	4020.3914	3203.5485	3860.7939	2522.3971	4256.951389	4909.80187	3791.428811
hsa-miR-342-5p	53.8112	0	68.1365	0	0	53.4445	99.98	10.1582	0	0	0	0	62.8437	28.1425	89.4055	33.1312	19.7611	0	0	87.9585	37.81	0	35.8556	106.349	32.1631	0	0	0	31.7256	23.3284	33.348467
hsa-miR-345-5p	322.8671	138.37	618.9067	444.4162	510.5325	1068.89	587.3825	436.801	1269.0355	504.4454	0	530.504	188.531	689.4902	581.1354	1192.7244	553.3105	565.391	478.7743	175.917	529.3406	826.674	513.9299	489.2056	820.1599	800.8871	489.3964	434.8961	599.689056	528.43062	564.489622
hsa-miR-34a-3p	26.9056	0	0	253.9521	44.3941	0	87.4825	71.1071	282.0079	315.2784	0	353.6693	62.8437	281.4246	134.1082	55.2187	59.2833	0	0	0	0	275.558	59.7593	170.1585	16.0816	61.6067	108.7548	0	85.094367	126.18262	76.879878
hsa-miR-34a-5p	1264.5626	207.555	391.785	380.9282	510.5325	1229.2235	1274.7451	1269.7703	493.5138	1198.0579	0	884.1733	785.546	1125.6983	581.1354	795.1496	316.1774	1342.8036	478.7743	703.6679	453.7205	275.558	501.978	382.8565	916.6492	1170.5274	108.7548	260.9376	780.290667	750.75158	530.516656
hsa-miR-34b-3p	53.8112	0	5.678	0	11.0985	0	0	20.3163	0	0	0	0	0	0	0	0	49.4027	0	0	0	0	0	11.9519	63.8094	0	0	0	86.9792	10.100444	4.94027	18.082278
hsa-miR-34b-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	159.5914	0	0	0	0	0	0	0	0	0	0	15.95914	0
hsa-miR-34c-3p	0	0	5.678	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.9519	0	0	0	0	0	0.630889	0	1.327989
hsa-miR-3605-3p	0	69.185	51.1024	63.488	22.1971	160.3335	12.4975	10.1582	70.502	0	0	0	31.4218	28.1425	0	33.1312	0	0	0	0	0	0	0	0	80.4078	61.6067	0	0	51.051522	9.26955	15.779389
hsa-miR-3605-5p	26.9056	0	0	0	0	0	0	0	0	0	0	0	31.4218	14.0712	0	11.0437	29.6416	35.3369	0	0	75.6201	0	0	0	0	0	54.3774	0	2.989511	12.15152	14.444167
hsa-miR-361-3p	618.8285	622.665	675.6872	888.8325	665.912	1282.6679	912.3175	751.704	1198.5336	756.6681	0	1061.008	1351.139	1491.5502	536.4327	629.4934	612.5937	777.4126	1117.1401	2198.9621	1247.7314	551.116	1003.9561	701.9036	1286.5253	924.1005	652.5285	347.9168	846.3498	833.34378	990.5267
hsa-miR-361-5p	80.7168	69.185	249.8339	63.488	199.7736	0	187.4625	182.8469	493.5138	756.6681	0	1061.008	94.2655	365.8519	223.5136	187.7437	158.0887	212.0216	638.3658	0	75.6201	0	203.1816	191.4283	176.8972	61.6067	380.6417	0	169.646722	369.75269	121.041733
hsa-miR-3611	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.8805	0	0	0	0	0	0	0	0	0	0	0	0	0.98805	0
hsa-miR-3613-3p	0	0	34.0683	0	0	0	0	40.6327	0	126.1114	0	176.8347	157.1092	0	0	22.0875	29.6416	106.0108	0	0	75.6201	0	23.9037	0	16.0816	0	0	86.9792	8.300111	61.77952	22.5094
hsa-miR-3614-3p	0	0	0	0	44.3941	0	0	0	0	0	0	0	62.8437	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.932678	6.28437	0
hsa-miR-3614-5p	0	0	0	0	0	0	24.995	0	0	0	0	0	0	0	0	0	0	0	0	87.9585	0	137.779	0	0	0	61.6067	0	0	2.777222	0	31.927133
hsa-miR-3615	0	0	11.3561	0	11.0985	0	62.4875	20.3163	0	0	0	0	62.8437	0	44.7027	55.2187	29.6416	0	0	0	37.81	0	35.8556	106.349	48.2447	0	0	0	11.695378	19.24067	25.362144
hsa-miR-3616-3p	0	0	0	31.744	11.0985	0	0	0	0	0	0	0	0	0	0	11.0437	0	0	0	0	0	0	0	0	0	0	0	0	4.760278	1.10437	0
hsa-miR-3619-3p	0	0	5.678	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.630889	0	0
hsa-miR-3619-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70.6739	0	87.9585	0	0	0	0	0	0	108.7548	0	0	7.06739	21.857033
hsa-miR-362-3p	269.0559	276.74	198.7315	317.4402	122.0839	0	137.4725	243.7959	352.5099	252.2227	0	530.504	62.8437	295.4958	223.5136	320.2686	138.3276	141.3478	0	87.9585	113.4301	688.895	227.0853	467.9358	273.3866	123.2134	435.019	0	213.0922	196.45238	268.547078
hsa-miR-362-5p	26.9056	622.665	261.19	63.488	255.2663	106.889	162.4675	203.1633	352.5099	63.0557	0	1061.008	62.8437	253.2821	44.7027	198.7874	177.8498	0	638.3658	87.9585	378.1004	0	239.0372	404.1263	546.7732	61.6067	163.1321	0	228.282733	249.98952	208.970489
hsa-miR-3620-3p	0	0	0	0	0	0	0	0	141.0039	0	0	0	0	0	0	0	0	0	0	0	0	0	35.8556	0	32.1631	0	0	0	15.6671	0	7.557633
hsa-miR-3622a-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	14.0712	0	0	19.7611	0	0	0	0	137.779	0	0	0	61.6067	0	0	0	3.38323	22.153967
hsa-miR-363-3p	538.1118	899.405	335.0046	507.9043	466.1384	106.889	437.4125	467.2755	846.0237	441.3897	0	0	377.0621	759.8463	1430.4873	386.531	266.7747	212.0216	638.3658	439.7924	340.2904	275.558	537.8336	595.5546	900.5677	308.0335	543.7738	0	511.573867	451.24785	437.933778
hsa-miR-363-5p	0	0	5.678	0	11.0985	106.889	0	20.3163	0	0	0	0	0	0	44.7027	0	0	35.3369	0	87.9585	0	0	0	0	16.0816	0	0	0	15.997978	8.00396	11.560011
hsa-miR-3651	53.8112	0	0	31.744	33.2956	0	74.985	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	108.7548	0	21.537311	0	12.083867
hsa-miR-365a-3p	134.5279	276.74	39.7463	126.9761	266.3648	53.4445	137.4725	193.0051	70.502	63.0557	0	0	251.3747	140.7123	0	165.6562	39.5222	70.6739	319.1829	0	302.4803	413.337	35.8556	21.2698	16.0816	61.6067	54.3774	347.9168	144.3088	105.01779	139.213911
hsa-miR-365a-5p	0	0	0	0	0	0	0	0	0	189.167	0	0	0	0	0	0	9.8805	141.3478	0	0	37.81	0	0	0	0	0	54.3774	0	0	34.03953	10.243044
hsa-miR-365b-3p	134.5279	276.74	39.7463	126.9761	266.3648	53.4445	137.4725	193.0051	70.502	63.0557	0	0	251.3747	154.7835	0	165.6562	39.5222	70.6739	319.1829	0	302.4803	413.337	35.8556	21.2698	16.0816	61.6067	54.3774	347.9168	144.3088	106.42491	139.213911
hsa-miR-365b-5p	0	0	0	0	0	0	0	10.1582	0	0	0	0	0	0	0	11.0437	0	0	0	0	0	0	0	0	0	0	0	0	1.128689	1.10437	0
hsa-miR-3663-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	159.5914	0	0	0	0	0	0	0	0	0	0	15.95914	0
hsa-miR-3664-3p	0	0	0	0	0	0	0	0	0	0	0	0	94.2655	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.42655	0
hsa-miR-3664-5p	0	0	11.3561	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.261789	0	0
hsa-miR-3665	0	0	0	0	0	0	12.4975	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.388611	0	0
hsa-miR-3679-5p	0	0	5.678	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.9519	0	0	0	0	0	0.630889	0	1.327989
hsa-miR-369-5p	0	0	5.678	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	175.917	0	0	0	0	0	0	0	0	0.630889	0	19.546333
hsa-miR-370-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	159.5914	0	0	0	0	0	0	0	0	0	0	15.95914	0
hsa-miR-374a-3p	134.5279	69.185	102.2048	190.4641	133.1824	106.889	137.4725	162.5306	423.0118	189.167	0	0	188.531	295.4958	134.1082	176.6999	49.4027	141.3478	0	87.9585	264.6703	688.895	215.1334	170.1585	225.1419	0	706.9059	0	162.163122	117.47524	262.095944
hsa-miR-374a-5p	134.5279	138.37	289.5802	253.9521	66.5912	0	274.945	162.5306	211.5059	63.0557	0	176.8347	597.0149	436.2081	134.1082	375.4873	177.8498	282.6955	159.5914	263.8755	226.8603	551.116	155.3742	212.6981	160.8157	0	435.019	260.9376	170.222544	240.28456	251.855156
hsa-miR-374b-3p	80.7168	0	62.4585	31.744	11.0985	0	0	10.1582	211.5059	0	0	0	0	112.5698	134.1082	44.175	9.8805	0	0	263.8755	0	0	11.9519	21.2698	32.1631	0	0	0	45.297989	30.07335	36.584478
hsa-miR-374b-5p	2125.5415	3459.25	3389.792	2349.0572	3840.0923	2191.2244	2899.4201	3169.3467	2749.577	2333.0601	0	2652.5199	2042.4195	2560.9636	1206.9736	2893.461	2983.9244	1978.8685	1595.9145	1407.3357	3516.3339	5786.7181	1876.4417	3020.3127	2396.1533	1724.9877	1957.5856	3044.2724	2908.144578	2024.81051	2747.793456
hsa-miR-374c-3p	0	0	5.678	0	0	0	0	0	0	0	0	0	0	28.1425	44.7027	0	0	0	0	0	0	0	0	0	0	0	0	0	0.630889	7.28452	0
hsa-miR-374c-5p	53.8112	0	17.0341	0	55.4927	0	12.4975	50.7908	0	0	0	0	0	14.0712	134.1082	33.1312	9.8805	0	0	0	75.6201	0	0	106.349	0	0	0	0	21.069589	19.11911	20.218789
hsa-miR-375-3p	53.8112	0	28.3902	0	0	0	74.985	10.1582	0	0	0	0	31.4218	0	89.4055	11.0437	0	0	319.1829	0	0	0	11.9519	0	48.2447	0	0	0	18.593844	45.10539	6.688511
hsa-miR-376a-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	14.0712	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.40712	0
hsa-miR-376c-3p	0	0	0	0	0	0	0	0	0	0	0	0	62.8437	56.2849	0	0	79.0444	70.6739	0	0	0	0	0	0	0	0	0	0	0	26.88469	0
hsa-miR-377-3p	0	0	17.0341	0	0	0	0	0	0	0	0	0	0	14.0712	0	0	9.8805	0	0	0	0	0	11.9519	0	0	0	0	0	1.892678	2.39517	1.327989
hsa-miR-378a-3p	188.3391	0	380.4289	190.4641	166.478	481.0005	237.4525	182.8469	0	252.2227	0	0	722.7023	281.4246	268.2164	618.4497	385.3412	812.7496	159.5914	175.917	113.4301	137.779	346.6039	170.1585	305.5497	554.4603	271.8869	173.9584	203.001111	350.06979	249.971533
hsa-miR-378a-5p	457.395	207.555	170.3413	190.4641	122.0839	587.8895	199.96	304.7449	0	0	0	353.6693	502.7494	140.7123	44.7027	254.0061	197.6109	424.0433	159.5914	87.9585	113.4301	137.779	179.2779	148.8887	321.6313	677.6737	54.3774	608.8545	248.937078	207.70854	258.874567
hsa-miR-378c	0	0	5.678	0	0	53.4445	12.4975	0	0	63.0557	0	0	0	42.2137	0	11.0437	0	70.6739	0	0	0	0	0	0	0	61.6067	0	0	7.957778	18.6987	6.845189
hsa-miR-378d	0	0	0	0	0	0	0	0	0	63.0557	0	0	0	0	0	0	0	35.3369	0	0	0	0	11.9519	0	0	0	0	0	0	9.83926	1.327989
hsa-miR-378f	0	0	0	0	0	0	0	0	0	0	0	0	0	14.0712	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.40712	0
hsa-miR-378g	0	0	0	0	0	0	0	0	0	0	0	0	0	14.0712	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.40712	0
hsa-miR-378i	0	0	0	0	0	0	12.4975	0	0	0	0	0	0	0	0	11.0437	9.8805	0	0	0	0	0	0	0	0	61.6067	0	0	1.388611	2.09242	6.845189
hsa-miR-379-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49.4027	0	0	0	0	0	0	0	0	0	0	0	0	4.94027	0
hsa-miR-379-5p	0	0	0	0	0	0	0	0	0	0	0	0	62.8437	0	0	0	19.7611	0	0	0	0	0	0	0	0	0	0	0	0	8.26048	0
hsa-miR-380-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44.7027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.47027	0
hsa-miR-381-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35.3369	0	87.9585	0	0	0	0	0	0	0	0	0	3.53369	9.773167
hsa-miR-382-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39.5222	0	0	0	0	0	0	0	16.0816	0	0	0	0	3.95222	1.786844
hsa-miR-3909	0	0	0	0	0	106.889	0	0	0	0	0	0	0	0	44.7027	0	0	35.3369	0	0	0	0	23.9037	0	0	0	0	0	11.876556	8.00396	2.655967
hsa-miR-3913-3p	0	0	0	63.488	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23.9037	0	0	0	0	0	7.054222	0	2.655967
hsa-miR-3913-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	275.558	0	0	0	0	0	0	0	0	30.617556
hsa-miR-3921	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44.7027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.47027	0
hsa-miR-3928-3p	0	0	0	0	0	0	0	10.1582	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23.9037	42.5396	0	0	0	0	1.128689	0	7.382589
hsa-miR-3934-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44.7027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.47027	0
hsa-miR-3940-3p	0	276.74	11.3561	95.232	0	53.4445	0	10.1582	0	0	0	0	0	0	0	0	9.8805	0	0	0	0	137.779	11.9519	0	0	0	0	0	49.658978	0.98805	16.636767
hsa-miR-3960	0	0	28.3902	31.744	0	106.889	0	0	0	0	264.9709	0	157.1092	28.1425	0	0	19.7611	0	0	0	0	0	11.9519	0	0	0	54.3774	0	18.558133	46.99837	7.369922
hsa-miR-409-3p	0	0	0	0	0	0	0	50.7908	0	0	0	0	0	28.1425	0	0	29.6416	0	0	0	0	0	0	0	0	0	0	0	5.643422	5.77841	0
hsa-miR-410-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.9519	0	0	0	0	0	0	0	1.327989
hsa-miR-411-3p	0	0	28.3902	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.154467	0	0
hsa-miR-421	80.7168	69.185	136.273	63.488	66.5912	53.4445	62.4875	20.3163	70.502	0	0	0	251.3747	28.1425	44.7027	88.35	177.8498	247.3586	159.5914	87.9585	37.81	0	191.2297	21.2698	128.6525	0	0	0	69.2227	99.73697	51.880056
hsa-miR-423-3p	376.6782	968.59	613.2287	984.0645	510.5325	587.8895	874.825	761.8622	705.0197	441.3897	0	353.6693	659.8586	773.9176	268.2164	1247.9431	632.3548	1024.7712	478.7743	439.7924	567.1506	551.116	501.978	701.9036	1013.1386	739.2804	380.6417	173.9584	709.187811	588.0895	563.217744
hsa-miR-423-5p	7533.5647	3528.435	10782.6047	4348.9302	7336.1302	5344.4498	5961.3077	8908.7086	5851.6638	14061.4162	264.9709	4774.5358	30290.652	12270.1113	5632.5436	13904.074	12083.9056	20954.8041	3511.0118	3958.1318	4650.6352	5373.3811	9657.1012	9209.8267	6239.6475	24396.2543	16150.0816	3566.1477	6621.754967	11774.80253	9244.578567
hsa-miR-424-3p	1452.9018	2283.105	2100.8761	1872.897	2308.4948	53.4445	1499.7001	2336.3774	1974.0553	1639.4476	0	1414.6773	1696.7793	2518.7499	1251.6764	1446.7305	2746.7913	2862.292	638.3658	527.7509	2571.0829	2480.022	2258.9011	1276.1885	2315.7455	1355.3475	2120.7178	1652.605	1764.650222	1621.55101	1839.817911
hsa-miR-424-5p	2744.37	1176.145	488.3117	1745.9209	965.5724	213.778	962.3075	1645.6223	352.5099	1008.8909	0	2829.3546	722.7023	6219.483	1341.0818	916.6308	652.1159	1378.1406	957.5487	1671.2112	1361.1615	1653.348	3370.4239	1999.3619	2508.7242	1232.1341	2990.7558	782.8129	1143.837522	1602.59486	1952.214833
hsa-miR-425-3p	376.6782	276.74	289.5802	476.1602	310.7589	1175.779	449.91	467.2755	211.5059	189.167	0	176.8347	157.1092	323.6383	223.5136	331.3123	217.372	176.6847	0	439.7924	604.9607	413.337	525.8817	446.666	820.1599	369.6402	217.5095	86.9792	448.265322	179.56318	436.102956
hsa-miR-425-5p	591.9229	691.85	346.3607	412.6722	266.3648	748.223	537.3925	152.3724	987.0276	0	0	353.6693	722.7023	337.7095	536.4327	209.8311	266.7747	424.0433	159.5914	351.8339	264.6703	1102.232	394.4113	191.4283	434.2023	800.8871	217.5095	260.9376	526.020678	301.07543	446.456922
hsa-miR-4271	0	0	5.678	0	0	0	0	0	0	0	0	0	0	0	0	11.0437	0	459.3802	0	0	0	0	0	0	0	61.6067	0	0	0.630889	47.04239	6.845189
hsa-miR-4281	0	0	5.678	0	0	0	24.995	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.408111	0	0
hsa-miR-4284	0	0	0	0	0	0	12.4975	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.388611	0	0
hsa-miR-4286	26.9056	0	5.678	0	11.0985	53.4445	0	0	0	63.0557	0	0	0	0	0	22.0875	0	0	0	0	37.81	0	35.8556	21.2698	0	0	108.7548	0	10.791844	8.51432	22.632244
hsa-miR-429	7587.3759	6226.6501	3792.9331	6507.5233	3274.0672	4649.6713	5036.4927	3555.3569	3595.6007	5233.6213	264.9709	2122.0159	1602.5137	5121.9272	6347.7872	3997.8354	2470.1361	1095.4451	4149.3776	7388.5126	4121.2946	7577.8451	2784.7829	4190.1521	2685.6215	3265.1552	5872.7569	3827.0853	4913.963467	3240.56304	4634.800689
hsa-miR-4298	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32.1631	0	0	0	0	0	3.573678
hsa-miR-4423-3p	0	0	17.0341	0	0	0	0	0	0	63.0557	0	353.6693	0	0	0	11.0437	0	0	0	0	0	0	0	0	0	0	0	0	1.892678	42.77687	0
hsa-miR-4423-5p	0	0	102.2048	0	0	0	0	0	0	0	0	0	0	14.0712	0	0	0	0	0	0	0	0	23.9037	0	0	0	0	86.9792	11.356089	1.40712	12.320322
hsa-miR-4433a-5p	26.9056	0	0	0	0	0	0	0	0	0	0	176.8347	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.989511	17.68347	0
hsa-miR-4443	0	0	5.678	63.488	0	0	12.4975	0	0	63.0557	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.073722	6.30557	0
hsa-miR-4444	0	0	5.678	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.630889	0	0
hsa-miR-4446-3p	0	0	0	0	0	0	12.4975	10.1582	0	0	0	0	0	42.2137	0	11.0437	9.8805	0	0	0	0	0	11.9519	0	0	0	0	0	2.5173	6.31379	1.327989
hsa-miR-4449	2959.6147	138.37	17.0341	444.4162	199.7736	694.7785	237.4525	335.2194	70.502	2711.3942	529.9417	0	157.1092	5375.2093	0	3114.3359	39.5222	2226.2271	0	0	0	275.558	143.4223	0	402.0391	184.8201	0	434.8961	566.351222	1415.37396	160.081733
hsa-miR-4454	53.8112	0	39.7463	95.232	66.5912	534.445	74.985	253.9541	282.0079	315.2784	0	176.8347	62.8437	42.2137	223.5136	121.4812	0	35.3369	0	0	113.4301	0	95.6149	63.8094	96.4894	123.2134	326.2643	260.9376	155.641411	97.75022	119.973233
hsa-miR-4466	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.8805	0	0	0	0	0	0	0	0	0	0	0	0	0.98805	0
hsa-miR-4485-3p	0	0	0	0	0	0	0	10.1582	0	0	0	0	0	0	0	0	0	0	0	0	0	275.558	0	0	0	0	0	0	1.128689	0	30.617556
hsa-miR-4485-5p	0	0	0	0	0	0	0	10.1582	141.0039	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.795789	0	0
hsa-miR-4488	0	0	0	31.744	22.1971	0	0	0	0	63.0557	0	0	0	0	44.7027	11.0437	0	0	0	0	0	0	0	42.5396	0	0	0	0	5.993456	11.88021	4.726622
hsa-miR-4492	80.7168	0	0	63.488	11.0985	53.4445	49.99	81.2653	0	0	0	176.8347	0	0	0	11.0437	39.5222	0	159.5914	0	0	0	0	21.2698	0	61.6067	54.3774	173.9584	37.778122	38.6992	34.579144
hsa-miR-449a	0	0	0	0	22.1971	0	0	0	0	0	0	0	125.6874	0	0	0	59.2833	0	0	0	0	0	0	0	0	0	0	0	2.466344	18.49707	0
hsa-miR-449b-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.8805	0	0	0	0	0	0	0	0	0	0	0	0	0.98805	0
hsa-miR-449c-5p	0	0	0	0	11.0985	0	0	0	0	0	0	0	0	0	0	0	29.6416	0	0	0	0	0	0	0	0	0	0	0	1.233167	2.96416	0
hsa-miR-4501	0	0	0	0	0	0	0	20.3163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.257367	0	0
hsa-miR-4502	0	0	0	0	0	0	0	10.1582	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.128689	0	0
hsa-miR-4504	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44.7027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.47027	0
hsa-miR-450a-1-3p	107.6224	0	5.678	0	0	0	12.4975	10.1582	0	63.0557	0	0	0	14.0712	0	0	39.5222	0	0	0	37.81	275.558	11.9519	63.8094	32.1631	0	0	0	15.106233	11.66491	46.810267
hsa-miR-450a-2-3p	26.9056	0	11.3561	0	0	0	0	0	0	0	0	0	0	14.0712	0	22.0875	0	35.3369	0	0	0	0	11.9519	0	16.0816	0	0	0	4.2513	7.14956	3.114833
hsa-miR-450a-5p	295.9615	69.185	73.8146	63.488	44.3941	0	49.99	132.0561	70.502	189.167	0	0	157.1092	196.9972	44.7027	198.7874	128.4471	0	0	0	151.2402	0	71.7111	42.5396	225.1419	0	0	86.9792	88.821256	91.52106	64.179111
hsa-miR-450b-5p	26.9056	0	28.3902	0	0	0	0	0	0	0	0	0	0	42.2137	0	0	9.8805	0	0	0	0	275.558	11.9519	0	0	0	0	0	6.143978	5.20942	31.945544
hsa-miR-4510	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.9519	0	0	0	0	0	0	0	1.327989
hsa-miR-4516	26.9056	0	11.3561	0	0	0	0	20.3163	0	126.1114	0	0	31.4218	0	0	22.0875	9.8805	35.3369	0	0	0	0	11.9519	21.2698	0	61.6067	0	0	6.508667	22.48381	10.536489
hsa-miR-451a	0	69.185	0	0	0	0	0	0	0	0	264.9709	0	10966.2215	1702.6187	89.4055	11.0437	29.6416	388.7063	0	87.9585	0	0	35.8556	0	0	0	0	0	7.687222	1345.26082	13.757122
hsa-miR-452-5p	53.8112	0	17.0341	0	22.1971	0	0	40.6327	0	0	0	0	0	70.3561	44.7027	44.175	59.2833	70.6739	0	0	37.81	0	0	85.0792	16.0816	61.6067	0	0	14.852789	28.9191	22.286389
hsa-miR-4520-3p	0	0	5.678	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.630889	0	0
hsa-miR-4524a-3p	0	0	0	0	0	0	24.995	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.0816	0	0	0	2.777222	0	1.786844
hsa-miR-4525	0	0	0	0	0	0	24.995	10.1582	0	0	0	0	0	0	0	33.1312	0	0	0	0	0	0	83.663	0	0	0	0	0	3.905911	3.31312	9.295889
hsa-miR-4536-3p	0	0	0	63.488	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.0816	0	0	0	7.054222	0	1.786844
hsa-miR-454-3p	215.2447	345.925	329.3265	95.232	277.4633	0	249.95	193.0051	141.0039	189.167	0	0	471.3276	182.926	223.5136	364.4436	197.6109	353.3694	0	87.9585	302.4803	0	334.652	191.4283	225.1419	61.6067	489.3964	260.9376	205.238944	198.23581	217.066856
